city,city_id,country,type_name,rides_badbid_cnt,rides_cnt,badbids_share,badbid_ratio_avg,rides_at_risk
São Francisco Xavier,32605,Brazil,auto_econom,0,1,0,,0
Macultepec,24338,Mexico,auto_econom,0,1,0,,0
Tadó,23172,Colombia,auto_econom,0,1,0,,0
Arapoti,21538,Brazil,auto_econom,0,1,0,,0
Chilchota,24884,Mexico,auto_econom,0,1,0,,0
Matão,22079,Brazil,auto_econom,0,1,0,,0
San Vicente del Caguán,5127,Colombia,auto_econom,0,1,0,,0
Armero,23100,Colombia,auto_econom,0,1,0,,0
Correntina,21769,Brazil,auto_econom,0,1,0,,0
Moctezuma,24158,Mexico,auto_econom,0,1,0,,0
Quatis,32561,Brazil,auto_econom,0,1,0,,0
Chilchotla,24703,Mexico,auto_econom,0,1,0,,0
Apulo,22930,Colombia,auto_econom,0,1,0,,0
Orlândia,22170,Brazil,auto_econom,0,1,0,,0
Santa Maria da Vitória,22370,Brazil,auto_econom,0,1,0,,0
Cataguases,21725,Brazil,auto_econom,0,1,0,,0
Chemax,24867,Mexico,auto_econom,0,1,0,,0
Mojuí dos Campos,38230,Brazil,auto_econom,0,1,0,,0
Tepalcingo,24787,Mexico,auto_econom,0,1,0,,0
Jandaia do Sul,32230,Brazil,auto_econom,0,1,0,,0
Teotônio Vilela,22515,Brazil,auto_econom,0,1,0,,0
Oruro,5505,Bolivia,moto_econom,1,7,0.045,1.062,0.143
San Sebastián de Buenavista,23202,Colombia,auto_econom,0,1,0,,0
Jhelum,23647,Pakistan,moto_econom,53,380,0.23,1.166,0.139
Guaranésia,32232,Brazil,auto_econom,0,1,0,,0
Tupanciretã,22544,Brazil,auto_econom,0,1,0,,0
El Retorno,23240,Colombia,auto_econom,0,1,0,,0
Capitanejo,22811,Colombia,auto_econom,0,1,0,,0
Bonfim,43651,Brazil,auto_econom,0,1,0,,0
Trujillo,4257,Peru,6-seater,171,1252,0.306,1.22,0.137
Tepechitlan,24389,Mexico,auto_econom,0,1,0,,0
São Sebastião,22462,Brazil,auto_econom,0,1,0,,0
São Lourenço do Sul,22442,Brazil,auto_econom,0,1,0,,0
Barreiro do Jaíba,32219,Brazil,auto_econom,0,1,0,,0
Acevedo,23320,Colombia,auto_econom,0,1,0,,0
Céu Azul,43514,Brazil,auto_econom,0,1,0,,0
San Juan de Urabá,42785,Colombia,auto_econom,0,1,0,,0
Urumita,25158,Colombia,auto_econom,0,1,0,,0
